2026-03-10 21:20:38 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 21:20:38 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 21:22:06 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 21:22:06 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 21:40:33 | INFO     | agents.base:log_start:21 - [PromptGenerator] Starting: Generating video prompts
2026-03-10 21:40:33 | INFO     | agents.base:log_complete:28 - [PromptGenerator] Completed: Prompt generation -> Generated prompts for 5 models...
2026-03-10 21:43:43 | INFO     | agents.base:log_start:21 - [PromptGenerator] Starting: Generating video prompts
2026-03-10 21:43:43 | INFO     | agents.base:log_complete:28 - [PromptGenerator] Completed: Prompt generation -> Generated prompts for 4 models...
2026-03-10 21:43:43 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 21:43:43 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 22:01:22 | INFO     | agents.base:log_start:21 - [VideoEditor] Starting: Editing video from kling
2026-03-10 22:01:23 | INFO     | agents.base:log_complete:28 - [VideoEditor] Completed: Video editing -> /tmp/edited-video.mp4...
2026-03-10 22:01:26 | INFO     | agents.base:log_start:21 - [VideoEditor] Starting: Editing video from kling
2026-03-10 22:01:26 | INFO     | agents.base:log_complete:28 - [VideoEditor] Completed: Video editing -> /tmp/edited-video.mp4...
2026-03-10 22:01:27 | INFO     | agents.base:log_start:21 - [PromptGenerator] Starting: Generating video prompts
2026-03-10 22:01:27 | INFO     | agents.base:log_complete:28 - [PromptGenerator] Completed: Prompt generation -> Generated prompts for 4 models...
2026-03-10 22:01:27 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 22:01:27 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 22:21:12 | WARNING  | utils.retry:wrapper:35 - Attempt 1/3 failed: Media file not found: /tmp/video_agent_test_input.png. Retrying in 1.0s...
2026-03-10 22:21:13 | WARNING  | utils.retry:wrapper:35 - Attempt 2/3 failed: Media file not found: /tmp/video_agent_test_input.png. Retrying in 2.0s...
2026-03-10 22:21:15 | WARNING  | utils.retry:wrapper:35 - Attempt 3/3 failed: Cannot connect to host queue.fal.run:443 ssl:default [nodename nor servname provided, or not known]. Retrying in 4.0s...
2026-03-10 22:21:15 | ERROR    | utils.retry:wrapper:42 - All 3 attempts failed
2026-03-10 22:21:24 | WARNING  | utils.retry:wrapper:35 - Attempt 1/3 failed: Cannot connect to host queue.fal.run:443 ssl:default [nodename nor servname provided, or not known]. Retrying in 1.0s...
2026-03-10 22:21:25 | WARNING  | utils.retry:wrapper:35 - Attempt 2/3 failed: Cannot connect to host queue.fal.run:443 ssl:default [nodename nor servname provided, or not known]. Retrying in 2.0s...
2026-03-10 22:21:27 | WARNING  | utils.retry:wrapper:35 - Attempt 3/3 failed: Cannot connect to host queue.fal.run:443 ssl:default [nodename nor servname provided, or not known]. Retrying in 4.0s...
2026-03-10 22:21:27 | ERROR    | utils.retry:wrapper:42 - All 3 attempts failed
2026-03-10 22:21:36 | WARNING  | utils.retry:wrapper:35 - Attempt 1/3 failed: 405, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url='https://queue.fal.run/fal-ai/kling-video/v3/pro/image-to-video/requests/5ebe132c-a219-41b8-b910-90f4308ff45e/status'. Retrying in 1.0s...
2026-03-10 22:21:39 | WARNING  | utils.retry:wrapper:35 - Attempt 2/3 failed: 405, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url='https://queue.fal.run/fal-ai/kling-video/v3/pro/image-to-video/requests/9fdf8c8e-0583-4088-b6f8-4badb4b7df62/status'. Retrying in 2.0s...
2026-03-10 22:21:42 | WARNING  | utils.retry:wrapper:35 - Attempt 3/3 failed: 405, message='Attempt to decode JSON with unexpected mimetype: text/plain; charset=utf-8', url='https://queue.fal.run/fal-ai/kling-video/v3/pro/image-to-video/requests/503cfbff-0a36-4a8c-bed9-72ad5fbd8ed7/status'. Retrying in 4.0s...
2026-03-10 22:21:42 | ERROR    | utils.retry:wrapper:42 - All 3 attempts failed
2026-03-10 22:23:58 | INFO     | agents.base:log_start:21 - [VideoEditor] Starting: Editing video from kling
2026-03-10 22:23:58 | INFO     | agents.base:log_complete:28 - [VideoEditor] Completed: Video editing -> /tmp/edited-video.mp4...
2026-03-10 22:23:58 | INFO     | agents.base:log_start:21 - [VideoGenerator] Starting: Generating videos with 1 models
2026-03-10 22:23:58 | INFO     | agents.base:log_complete:28 - [VideoGenerator] Completed: Video generation -> 1/1 successful...
2026-03-10 22:23:58 | INFO     | agents.base:log_start:21 - [PromptGenerator] Starting: Generating video prompts
2026-03-10 22:23:58 | INFO     | agents.base:log_complete:28 - [PromptGenerator] Completed: Prompt generation -> Generated prompts for 4 models...
2026-03-10 22:24:42 | WARNING  | utils.retry:wrapper:35 - Attempt 1/3 failed: KlingAPI result fetch failed: {'detail': [{'type': 'literal_error', 'loc': ['body', 'shot_type'], 'msg': "Input should be 'customize'", 'input': 'product', 'ctx': {'expected': "'customize'"}}]}. Retrying in 1.0s...
